a	art. 一（个）；每一（个）
criticism	n. 批评， 批判； 评论， 评论文章
criticize	vt. 批评； 评论； 非难
crop	n. 农作物，庄稼；一熟：一季的收成
cross	v. 穿过；使交叉
crossing	n. 人行横道， 交叉口； 横渡
crow	n. 鸦，乌鸦 v. 啼
crowd	v. 聚集； 挤满； 挤； 推 n. 群，一批
crown	n. 王冠，冕；花冠
crucial	adj. 至关重要的， 决定性的
crude	adj. 简陋的， 天然的； 粗鲁的， 粗俗的
cruel	adj. 残忍的，残酷的
cruelty	n. 残暴，残酷
cruise	vi. 航游，巡航；缓慢巡行 n. 航游， 游弋
crush	vt. 压碎， 碾碎； 摧毁， 压垮
crust	n. 面包皮， 硬外皮； 外壳， 地壳
cry	v. 哭，哭泣；叫喊
crystal	n. 水晶， 结晶体， 晶粒
cube	adj. 清澈透明的 n. 立方形，立方
cubic	adj. 立方形的；立方的
cucumber	n. 黄瓜
cue	n. 暗示，信号；提示 vt. 提示； 暗示
cultivate	vt. 耕作， 种植； 培养， 陶冶
culture	n. 文化， 文明； 教养； 培养； 培养菌
cunning	adj. 狡猾的，狡诈的
cup	n. 杯子；（一）杯；奖杯
cupboard	n. 柜橱； 碗碟橱， 食橱
curb	v. 控制 n. 控制
cure	v. 医治；消除 n. 治愈
curiosity	n. 好奇， 好奇心； 奇物， 奇事， 珍品
curious	adj. 好奇的；稀奇古怪的
curl	n. 卷毛；螺旋 v. 卷曲
currency	n. 通货， 货币； 通行， 流行
current	adj. 当前的， 通用的； 流行的， 流传的
currently	adv. 当前；一般地
curriculum	n. 课程， 全部课程
curse	v. 诅咒，咒骂 n. 天谴； 祸害， 祸根
curtain	n. 帘，窗帘；幕（布）
curve	v. 弯曲 n. 曲线，弯，弯曲处
cushion	n. 垫子， 坐垫， 靠垫
custom	n. 习惯，风俗；海关
customer	n. 顾客，主顾
cut	v. 切，割，剪；减少
cycle	n. 循环（周期） v. 骑自行车
daily	adj. 每日的 n. 日报
dairy	adj. 乳制品的 n. 牛奶场；乳制品
dam	n. 水坝，水堤；障碍物 vt. 筑堤挡住
damage	v. 损害，毁坏 n. 损害
damn	interjection. 该死，见鬼〔表示很生气或失望〕 adv. 非常，很 adj. 该死的〔表示对某人或某事物生气〕
damp	adj. 潮湿的，微湿的 n. 潮湿，湿气 vt. 使潮湿； 使沮丧； 抑制
dampen	v. 抑制
dance	v. 跳舞；摇晃 n. 舞
danger	n. 危险；危险事物
dangerous	adj. 危险的，不安全的
dare	v. 敢；竟敢
daring	adj. 大胆的，勇敢的
dark	adj. 暗的；黑色的
darling	n. 亲爱的人；宠儿
dash	vi. 猛冲，击碎 vt. 使猛撞，飞奔；溅 n. 猛冲； 破折号
data	n. 数据；资料
date	n. 日期 v. 注…日期
daughter	n. 女儿
dawn	n. 黎明；开端 v. 破晓
day	n. （一）天；白昼，白天
daylight	n. 白昼， 日光， 黎明
dead	adj. 死的，无生命的
deadline	n. 最后期限
deadly	adj. 致命的；死一般的
deaf	adj. 聋的； 不愿听的
deal	n. 买卖；待遇
dear	adj. 亲爱的 int. 啊
death	n. 死，死亡；灭亡
debate	n. 争论，辩论 v. 争论，辩论
debt	n. 债， 债务， 欠债
decade	n. 十年， 十年期
decay	vi. 腐烂；衰败 n. 腐烂
deceit	n. 欺骗，欺诈
deceive	vt. 欺骗， 蒙蔽， 行骗
December	n. 十二月
decent	adj. 像样的， 过得去的， 体面的； 宽厚的， 大方的； 正派的； 合乎礼仪的， 得体的
deception	n. 欺骗； 诡计， 骗局
decide	v. 决定，决心；解决
decision	n. 决定，决心；果断
deck	n. 甲板， 舱面； 层面
declaration	n. 宣布， 宣告； 宣言， 声明； 申报
declare	v. 断言；声明；表明
decline	v. 下降， 减少； 衰退， 衰落； 谢绝， 拒绝 n. 下降，减少；衰退
decorate	vt. 装饰， 装潢， 修饰
decrease	v. 减少 n. 减少
deduce	v. 演绎，推论，推断
deed	n. 行为；功绩；劣迹；契约
deep	adj. 深的；纵深的
deepen	v. 使加深，加剧
deer	n. 鹿
defeat	n&vt. 战胜， 挫败
defect	v. 变节， 叛变 n. 缺点， 缺陷， 欠缺
defence	n. 防御；防务；辩护
defend	v. 保卫，防守
define	vt. 给…下定义， 限定
definite	adj. 明确的， 肯定的
definitely	adv. 一定地， 明确地
definition	n. 定义， 释义， 定界； 清晰， 鲜明
degree	n. 度；学位
delay	v. 耽搁；延误；推迟
delegate	n. 代表， 代表团成员 vt. 委派…为代表； 授 ， 把…委托给
delegation	n. 代表团
delete	vt. 删除， 擦掉
deliberate	adj. 故意的， 蓄意的； 慎重的， 深思熟虑的 v. 仔细考虑， 思考
delicate	adj. 纤细的， 易碎的； 微妙的； 精美的
delicious	adj. 美味的； 芬芳的， 怡人的； 有趣的
delight	n. 快乐 v. 使高兴
delightful	adj. 高兴的
deliver	v. 投递，送交；发表
delivery	n. 投递， 交付； 分娩； 讲话方式； 投递的邮件
demand	n. 需求，要求 v. 要求
democracy	n. 民主， 民主制； 民主国家
democratic	adj. 民主的， 民主政体的
demonstrate	vt. 说明； 论证； 表露
dense	adj. 密集的， 浓厚的； 密度大的
density	n. 密集，稠密；密度；〔物质的〕密度
dental	adj. 牙齿的， 牙科的
deny	vt. 否定， 否认； 拒绝…的要求
depart	vi. 离开， 起程， 出发
department	n. 部，司，局，处，系
departure	n. 离开， 起程， 出发； 背离， 违背
depend	v. 依靠，依赖；相信
dependent	adj. 依靠的， 依赖的； 取决于…的
deposit	vt. 使沉淀；存放，储蓄 n. 定金， 押金； 存款； 矿藏
depress	vt. 使沮丧； 使不景气； 削弱， 抑制
depressed	adj. 萧条的；沮丧的
depressing	adj. 令人沮丧的
depression	n. 抑郁， 沮丧； 不景气， 萧条； 洼地， 凹陷
deprive	v. 剥夺，夺去，使丧失
depth	n. 深度；深厚；深处
deputy	n. 副职， 副手； 代表， 代理人
derive	v. 取得； 起源
descend	vi. 下来， 下降； 下倾
describe	vt. 形容； 描写； 画出
description	n. 描写，形容；种类
desert	n. 沙漠 v. 离弃；擅离
deserve	vt. 应受， 值得
design	vt. 设计；预定，指定 n. 设计， 构想； 图样； 企图
desirable	adj. 值得向往的， 令人满意的
desire	v. 中文释义；想要：要求 n. 愿望
desk	n. 书桌，办公桌
despair	n. 绝望 v. 绝望，感到无望
desperate	adj. 拼死的， 不顾一切的； 绝望的； 极需要的
despise	v. 鄙视，蔑视
despite	prep. 尽管，虽然，任凭
dessert	n. 甜食， 点心
destination	n. 目的地， 终点， 目标
destroy	v. 破坏；消灭；打破
destruction	n. 破坏， 毁灭， 消灭
detail	n. 细节，枝节；零件 vt. 详细说明
detailed	adj. 细节的，详细的
detect	vt. 察觉， 发觉； 侦查出
detection	n. 察觉， 发觉； 侦查， 探测
detective	n. 侦探， 私人侦探
determination	n. 决心， 决定； 确定
determine	vi. 决意 vt. 决定；查明；使下决心
develop	v. 发展；形成；开发
development	n. 发展；生长；开发
developmental	adj. 发展的
device	n. 器械， 装置， 设备； 手段， 策略
devil	n. 魔鬼， 恶魔； 家伙， 人
devise	vt. 设计， 发明
devote	vt. 将…奉献给； 把…专用
devotion	n. 献身， 奉献； 忠实； 热爱； 虔诚
dew	n. 露，露水
diagnose	vt. 诊断
diagram	n. 图解， 图表， 简图
dial	n. 钟面；拨号盘 v. 拨
dialect	n. 方言， 土语， 地方话
dialog	n. 对话，对白
diameter	n. 直径
diamond	n. 金钢石，钻石；菱形
diary	n. 日记，日记簿
dictate	v. 口授； 命令， 规定， 要求 n. 命令， 指挥
dictation	n. 口授笔录；听写
dictator	n. 独裁者；专制者
dictionary	n. 词典，字典
die	v. 死，死亡；灭亡
differ	vi. 不同， 相异； 发生分歧
difference	n. 差别；差；分歧
different	adj. 差异的；各种的
difficult	adj. 困难的；难对付的
difficulty	adj. 困难；难事；困境
dig	v. 掘，挖；采掘
digest	vt. 消化； 领会 n. 文摘； 摘要
digital	adj. 数字的， 数位的
dilemma	n. 困境
diligent	adj. 勤勉的，勤奋的
dim	adj. 昏暗的；朦胧的；模糊不清的 v. 变暗淡
dimension	n. 尺寸， 尺度； 方面， 特点； 面积， 规模
dinner	n. 正餐，主餐；宴会
dip	v. 蘸，浸 n. 游一会儿泳
diploma	n. 文凭
diplomatic	adj. 外交的， 从事外交的； 策略的， 有手腕的
direct	adj. 直接的；直率的
direction	n. 方向，方位；指导
directly	adv. 直接地； 正好地， 截然； 立即
director	n. 理事；导演；指导者；负责人
dirt	n. 灰尘， 土； 污物， 污垢
dirty	adj. 脏的；下流的
disable	v. 使无能，使伤残
disadvantage	n. 不利情况，缺点
disagree	v. 有分歧；不一致
disappear	vi. 不见， 失踪， 消失
disappoint	v. 使失望，使受挫折
disappointing	adj. 令人失望的
disaster	n. 灾难， 灾祸， 天灾； 彻底的失败
discard	vt. 丢弃， 抛弃， 遗弃
discharge	v. 释放， 排出； 卸货 n. 释放， 放电
discipline	n. 纪律；训练；惩罚；学科 vt. 训练； 惩罚， 处罚
disclose	v. 揭开，揭发；透露
discount	n. 折扣 vt. 将…打折扣； 不信； 漠视， 低估
discourage	vt. 使泄气， 使灰心； 阻止， 劝阻
discover	v. 发现
discovery	n. 发现；被发现的事物
discrimination	n. 区别， 辨别； 识别力； 差别对待， 歧视
discuss	v. 讨论，谈论；论述
discussion	n. 讨论，谈论；论述
disease	n. 病， 疾病； 不健全； 弊端
disguise	vt. 假扮，化装，伪装；掩盖，掩饰 n. 用来伪装的东西； 伪装， 掩饰
disgust	n&vt. 厌恶， 憎恶
dish	n. 碟，盘子；菜肴
dishonest	adj. 不诚实的
dishonour	n. 不光彩；丢脸的人
dishwasher	n. 洗碗机
disk	n. 圆盘，唱片；磁盘
dislike	v. 不喜爱，厌恶 n. 不喜爱，厌恶
dismiss	vt. 不再考虑； 解雇， 解散； 驳回
disorder	n. 混乱， 杂乱， 骚乱
disorderly	adj. 杂乱的
display	vt. 陈列， 展览， 显示
displease	v. 使不愉快，使生气
disposal	n. 丢掉， 销毁； 处理； 排列， 布置
dispose	vt. 处理， 解决； 使倾向于
dispute	v. 争论， 争执； 对…表示异议 n. 争论
dissatisfy	v. 使不满，使不平
disservice	n. 伤害，帮倒忙
dissolve	v. 溶解； 解散； 消失， 减弱； 结束
distance	n. 距离，间距；远处
distant	adj. 在远处的；疏远的
distinct	adj. 与其他不同的； 清楚的， 明显的
distinction	n. 差别， 不同， 区分
distinctive	adj. 独特的，与众不同的
distinguish	vt. 区别， 辨别， 识别； 使显出特色， 使杰出
distinguished	adj. 显著的，杰出的
distract	v. 分心
distracted	adj. 分心的
distraction	n. 分心的事； 心烦意乱； 精神错乱； 娱乐， 消遣
distress	n. 忧虑， 痛苦， 悲伤； 不幸
distribute	vt. 分发， 分送； 分布
distribution	n. 分发， 分配； 分布
district	n. 地区，区域；区
disturb	vt. 打扰， 扰乱； 弄乱； 使不安
ditch	n. 沟， 沟渠， 渠道
dive	vi. 跳水； 潜水； 俯冲
diverse	adj. 不一样的， 相异的； 多种多样的
diversity	n. 多样性； 差异； 不同点
divide	v. 分，分开；分配，分享；除；产生分歧 n. 分歧； 分界线， 分水岭
divine	adj. 神圣的
division	n. 分， 分配； 除法； 分歧； 分裂
divorce	v. 离婚； 分离， 脱离 n. 离婚，离异
do	aux. （用于实义动词前构成否定句和疑问句） v. 做，干，办
dock	n. 船坞；码头
doctor	n. 医生，医师；博士
doctoral	adj. 博士的
document	n. 公文，文件；证件 vt. 用文件等证明
dog	n. 狗，犬；犬科动物
dollar	n. 元〔美国、加拿大、澳大利亚等国的货币单位〕
domestic	adj. 本国的； 家庭的； 驯养的
dominant	adj. 占优势的， 支配的， 统治的； 居高临下的， 高耸的
dominate	vi. 拥有优势 vt. 在…中占首要地位；支配，统治，控制；耸立于，俯视
domination	n. 主导
donate	v. 捐赠
donation	n. 捐款， 捐赠物； 捐赠， 赠送
donkey	n. 驴； 笨蛋
door	n. 门；通道；一家
dorm	n. 宿舍
dormitory	n. 集体寝室， 宿舍
dose	n. 剂量， 用量， 一剂
dot	n. 点，圆点 vt. 打点于
double	adj. 双的；两倍的
doubt	n. 怀疑；疑虑 v. 怀疑
doubtful	adj. 难以预测的； 怀疑的
doubtless	adv. 无疑地；很可能
down	adv. 向下；在下面
downfall	n. （雨等的）大下特下
download	v. 下载
downsize	v. 裁员
downstairs	adv. 在楼下 adj. 楼下的
downward	adj. 向下的 adv. 向下地
dozen	n. 一打，十二个
draft	n. 草稿；汇票；征兵；通风 vt. 起草； 征募
drag	v. 拖，拉；迫使，硬拉；拖着脚步走 n. 累赘； 一吸， 一抽
dragon	n. 龙
drain	v. 排去，放水 n. 耗竭； 排水沟， 排水管
drama	n. 戏剧， 剧本； 戏剧性事件
dramatic	adj. 引人注目的， 激动人心的； 突然的
dramatically	adv. 戏剧性地，引人注目地
draught	n. 穿堂风，冷风 adj. 〔啤酒〕桶装的，散装的
draw	v. 画，划
drawer	n. 抽屉
drawing	n. 图画，素描；绘图
dread	n. 畏惧；恐怖 v. 惧怕
dream	n. 梦；梦想 v. 做梦
dress	n. 服装
drift	vi. 漂流，漂泊 n. 漂流； 大意， 主旨； 趋势
drill	v. 钻， 打； 训练 n. 钻头；操练，训练
drink	v. 饮 n. 饮料
drip	vi. 滴下，漏水 n. 水滴； 滴水声
drive	v. 驾驶；打入；驱
driver	n. 驾驶员，司机
drop	v. 使落下；降低
dropout	n. 辍学者
drought	n. 旱灾，干旱
drown	v. 淹死，溺死
drug	n. 药，药物，药材
drum	v. 有节奏地敲击 n. 鼓，鼓状物；圆桶
drunk	adj. 醉的； 陶醉的
dry	adj. 干的，干燥的
duck	n. 鸭；中文释义: 雌鸭；鸭肉
due	adj. 预期的；应给的
dull	adj. 乏味的， 单调的； 晦暗的， 阴沉的； 低沉的； 笨的； 钝的
dumb	adj. 哑的； 无言的； 说不出话的
dump	vt. 倾卸，倾倒；倾销 n. 垃圾场
durability	n. 持久
durable	adj. 耐久的， 耐用的
duration	n. 持续， 持久
during	prep. 在…期间
dusk	n. 薄暮， 黄昏； 幽暗
dust	n. 尘土，灰尘
duty	n. 责任；职责；税
dwelling	n. 住处，寓所
dye	vt. 染 n. 染料； 染色
dying	adj. 垂死的；临终的
dynamic	adj. 有活力的；动力的；不断变化的 n. 动力； 动力学
each	det,pron. 各，各自
eager	adj. 渴望的，热切的
eagle	n. 鹰
ear	n. 耳朵；听力，听觉
early	adv. 早 adj. 早的，早期的
earn	v. 赚得，挣得；获得
earnest	adj. 认真的， 诚恳的
earth	n. 地球；陆地，地面
earthquake	n. 地震， 大震荡
ease	n. 容易；舒适 vt. 缓和
easily	adv. 容易地
east	n. 东；东部 adv. 在东方
eastern	adj. 朝东的；东方的
easy	adj. 容易的；安逸的
easygoing	adj. 脾气随和的，温和的
eat	v. 吃
echo	v. 重复， 模仿； 发出回声 n. 回声；反响，共鸣
economic	adj. 经济的，经济学的 n. 经济学； 经济状况
economical	adj. 节约的； 经济学的
economy	n. 经济； 节约， 节省
edge	n. 边缘，边；刀口
edition	n. 版， 版本， 版次
editor	n. 编辑， 编者， 校订者
editorial	adj. 编辑的，主笔的，编者的；社论的，社论式的 n. 社论， 重要评论
educate	v. 教育；培养；训练；教导
education	n. 教育；训导
effect	n. 结果；效果，效力
effective	adj. 有效的； 有影响的
efficiency	n. 效率； 功效， 效能
efficient	adj. 效率高的； 有能力的
efficiently	adj. 有效地
effort	n. 努力， 努力的成果
egg	n. 蛋，卵；蛋，鸡蛋
eight	num. 八，八个
eighteen	num. 十八，十八个
eighth	num. 第八 n. 八分之一
eighty	num. 八十，八十个
either	det,pron. （两者）任何一个
elaborate	adj. 复杂的； 精心制作的 v. 详述， 详细制订
elastic	adj. 有弹性的， 灵活的 n. 松紧带
elbow	n. 肘，肘部 vt. 用肘部， 用肘挤
elder	adj. 年龄较大的 n. 长者
elderly	adj. 较老的，年长的 n. 到了晚年的人， 老年人
elect	vt. 选举， 推选； 选择
election	n. 选举； 选择权； 当选
elective	adj. 选举的，有选举权的；可任意选择的 n. 选修课程
electric	adj. 电的， 电动的
electrical	adj. 电的， 电气科学的
electricity	n. 电，电学；电流
electron	n. 电子
electronic	adj. 电子的 n. 电子学； 电子设备
electronics	n. 电子学
elegant	adj. 优美的， 文雅的， 讲究的； 简练的， 简洁的
element	n. 成分， 要素， 元素； 基础， 纲要； 自然力
elementary	adj. 基本的， 初级的
elephant	n. 象
elevator	n. 电梯， 升降机
eleven	num. 十一，十一个
eleventh	adj. 第十一（个）
eliminate	vt. 消灭， 消除， 排除； 淘汰
elimination	n. 排除，消除；消灭
else	adv. 其它，另外 adj. 别的
elsewhere	adv. 在别处， 向别处
embarrass	vt. 使窘迫， 使为难
embarrassed	adj. 尴尬的；窘迫的
embassy	n. 大使馆； 大使馆全体成员
embrace	v. 拥抱；欣然接受，乐意采纳 (新思想、意见、宗教等)
emerge	vi. 出现， 涌现， 冒出
emergence	n. 出现，发生
emergency	n. 紧急情况， 突然事件
emission	n. 排放，辐射
emit	vt. 散发； 发射； 发表
emotion	n. 情感， 感情； 激动
emotional	adj. 情绪(上)的，情感(上)的；激起感情的； 敏感的；情绪激动的〔尤指哭泣〕
emperor	n. 皇帝
emphasis	n. 强调； 重点， 重要性
emphasize	vt. 强调， 着重
empire	n. 帝国
employ	v. 雇用；用；使忙于
employee	n. 受雇者， 雇员， 雇工
employer	n. 雇佣者， 雇主
employment	n. 工作；职业；雇用；使用
empower	vt. 授权于； 使能够
empty	adj. 空的；空洞的
enable	vt. 使能够， 使可能
enclose	vt. 围住， 圈起； 附上； 把…装入信封
encounter	vt. 遭遇，遇到 n. 遭遇
encourage	vt. 鼓励， 怂恿； 促进， 助长， 激发
end	n. 末端；目标 v. 结束
endanger	v. 危及，危害，濒临危险
ending	n. 结尾， 结局； 死亡
endless	adj. 无止境的
endurance	n. 耐力
endure	v. 忍受， 容忍； 持久， 持续
enemy	n. 敌人；仇敌；敌兵
energetic	adj. 精力充沛的
energy	n. 活力；精力；能；能量
enforce	vt. 实施， 执行； 强制， 强迫， 迫使
engage	vt. 使从事； 聘用； 吸引； 占用； 使订婚
engagement	n. 婚约
engine	n. 引擎， 发动机； 机车
engineer	n. 工程师，技师
engineering	n. 工程， 工程学
England	n. 英格兰；英国
English	n. 英语 adj. 英国人的
Englishman	n. 英国男子
enhance	vt. 提高， 增加， 加强
enjoy	v. 享受；欣赏，喜爱
enlarge	vt. 扩大， 扩展， 放大
enormous	adj. 巨大的， 庞大的
enough	det. 足够的 adv. 足够地
enquire	v. 询问
enquiry	n. 询问
enrich	v. 丰富；使富有
enroll	vi. 入学，加入 vt. 招收， 吸收
enrollment	n. 入学人数
ensure	v. 保证；保护；赋予
enter	v. 走进，进入；参加
entertain	vt. 使欢乐； 招待， 请客
entertaining	adj. 有趣的，使人愉快的
entertainment	n. 娱乐， 文娱节目， 表演会； 招待， 款待， 请客
enthusiasm	n. 热情， 热心， 热忱； 巨大兴趣
enthusiastic	adj. 热情的，热心的
entire	adj. 全部的， 整个的
entitle	v. 使具有权利，使具有资格
entrance	n. 入口，门口；进入
entry	n. 入口处； 登记； 进入； 参赛者名单； 条目
envelope	n. 信封；封套；封皮
environment	n. 环境， 外界； 围绕
envy	n. 妒忌，羡慕；妒忌的对象 vt. 妒忌， 羡慕
epidemic	adj. 流行性的；传染的 n. 流行病； 传播
episode	n. 一个事件； 插曲， 片段； 连续剧的一集
equal	adj. 相等的，平等的
equality	n. 等同， 平等， 相等
equation	n. 方程（式）；等式
equip	vt. 装备， 配备； 使有准备
equipment	n. 装备，设备；配备
equivalence	n. 等值，相等
equivalent	adj. 相等的，等量的 n. 相等物， 等价物
era	n. 时代， 年代， 纪元
erect	adj. 竖直的， 垂直的 vt. 建造；使竖立
erroneous	adj. 错误的， 不正确的
error	n. 错误， 谬误， 差错
escape	v. 逃跑；逸出 n. 逃跑
especially	adv. 尤其；特别，格外
essay	n. 短文， 散文， 小品文
essential	adj. 必要的；本质的 n. 要素； 必需品
essentially	adv. 本质上，根本上
establish	vt. 建立， 设立； 确立； 证实
establishment	n. 建立， 设立， 确立； 企业； 当权人物
estate	n. 土地， 住宅区， 地产； 财产， 遗产； 庄园， 种植园
esteem	n. 自尊
estimate	vt. 估计； 评价 n. 估计； 评价， 看法
Europe	n. 欧洲
European	adj. 欧洲的 n. 欧洲人
evaluate	vt. 评价； 估…的价
evaluation	n. 评价； 估计
evaporate	v. 使蒸发
eve	n. 前夜， 前夕， 前一刻
even	adv. 甚至；甚至更，还
evening	n. 傍晚，黄昏，晚上
event	n. 事件， 大事， 事变
eventually	adv. 终于；最后
ever	adv. 在任何时候；曾经
everlasting	adj. 永恒的
every	det. 每一的；每隔…的
everybody	pron. 每人，人人
everyday	adj. 每天的，日常的
everyone	pron. 每人，人人
everything	pron. 每件事，事事
everywhere	adv. 到处，处处
evidence	n. 根据， 证据； 证人
evident	adj. 明显的， 明白的
evidently	adv. 明显地， 显然
evil	n. 祸害；邪恶 adj. 坏的
evolution	n. 进化， 演化， 发展
evolutionary	adj. 进化的；演变的
evolve	vt. 使进化， 使发展
exact	adj. 确切的，精确的 vt. 强求， 索取
exactly	adv. 确切地；恰恰正是
exaggerate	v. 夸大， 夸张
exam	n. 考试；检查，细查
examination	n. 考试；检查，细查
examine	v. 检查，仔细观察
example	n. 例子，实例；模范
exceed	vt. 超过， 胜过， 超出
exceedingly	adv. 极端地， 非常
excellent	adj. 卓越的，杰出的，极好的
except	prep. 除…之外
exception	n. 例外， 除外
excess	adj. 过量的， 额外的 n. 超越； 过量， 过度
excessive	adj. 过多的， 极度的
exchange	n. 交换，交流 v. 交换，交流
excite	v. 使激动；引起
excitement	n. 刺激， 激动， 兴奋； 令人兴奋的事， 刺激的因素
exciting	adj. 令人兴奋的
exclaim	vi. 呼喊， 惊叫
exclude	vt. 把…排除在外
exclusive	adj. 奢华的，高级的；独有的，独享的；排斥的，排他的；不包括…的，不把…计算在内的 n. 独家新闻
exclusively	adv. 专门地
excursion	n. 远足， 短途旅行
excuse	v. 原谅；免除 n. 借口
execute	vt. 将…处死； 实施， 执行
executive	adj. 执行的 n. 执行者
exercise	n. 锻炼；训练 v. 练习
exert	v. 运用；尽（力）
exhaust	vt. 使筋疲力尽；用尽；详尽论述 n. 排气装置； 废气
exhibit	vt. 显示；陈列，展览 n. 展览品
exhibition	n. 展览会；展览，陈列
exile	n. 流放，放逐
exist	v. 存在；生存，生活
existence	n. 存在， 实在， 生存
exit	n. 出口；退场 v. 退出
expand	vt. 扩大， 使膨胀
expansion	n. 扩大， 扩充， 扩张， 膨胀
expect	v. 预料，预期；等待
expectation	n. 期待， 期望， 预期； 前程， 成功的前景
expense	n. 花费， 消费； 费用， 开支； 业务费用
expensive	adj. 昂贵的，花钱多的
experience	n. 经验，感受；经历
experiment	n. 实验；试验
experimental	adj. 实验的， 试验的
expert	n. 专家 adj. 熟练的
explain	v. 解释；为…辩解
explanation	n. 解释，说明；辩解
explicitly	adv. 直接地，明确地
explode	vi. 爆炸； 激增； 发怒 vt. 使爆炸
exploit	vt. 剥削； 利用； 开拓 n. 业绩， 功绩
explore	vt. 探险， 探索； 仔细查阅， 探究
explosion	n. 爆炸， 爆发， 炸裂； 激增， 扩大
explosive	adj. 爆炸的； 极易引起争论的 n. 炸药
export	vt. 输出， 出口 n. 输出， 出口； 输出品， 出口额
expose	vt. 使接触； 揭露
exposure	n. 暴露， 揭露； 曝光
express	v. 表示 n. 快车；快递
expression	n. 词语； 表达； 表情
expressiveness	n. 表达
extend	v. 延长， 扩大； 提供， 给予； 伸展， 达到
extension	n. 延长部分， 伸展； 电话分机， 分机号码
extensive	adj. 广阔的， 广泛的
extensively	adv. 广泛地
extent	n. 广度； 范围； 程度
exterior	adj. 外部的；对外的 n. 外部， 外表
external	adj. 外部的， 外面的
extra	adv. 特别地 adj. 额外的；特别的 n. 额外的事物， 额外费用
extracurricular	adj. 课外的
extraordinary	adj. 非同寻常的；特别的（会议）
extreme	adj. 极度的；末端的 n. 极端， 过分
extremely	adv. 极端，极其，非常
eye	n. 眼睛；眼力
eyesight	n. 视力， 目力
fable	n. 寓言；虚构的故事
fabric	n. 织物， 纺织品； 结构
face	n. 脸；表面
facilitate	v. 使便利，促进
facility	n. 设备； 容易； 场所
fact	n. 事实；实际，实情
factor	n. 因素； 因子； 系数
factory	n. 工厂，制造厂
faculty	n. 才能， 能力； 系， 科； 全体教员
fade	vi. 褪色；逐渐消失；凋谢 vt. 使褪色
Fahrenheit	n. 华氏温度
fail	v. 失败；不能；失灵
failure	n. 失败， 失败的人； 失灵， 故障； 不履行
faint	adj. 不清楚的，模糊的 v. 晕倒，昏厥 n. 昏厥
fair	adj. 公平的；相当的
fairly	adv. 相当， 尚可， 还； 公平地
fairy	n. 小精灵， 小仙子
faith	n. 信任； 信心； 信仰， 信条； 忠诚
faithful	adj. 忠诚的； 如实的； 尽职的
fall	v. 落下；跌倒；陷落
false	adj. 不真实的；伪造的
fame	n. 名声， 名望
familiar	adj. 熟悉的
family	n. 家，家庭；家族
famine	n. 饥荒； 严重的缺乏
famous	adj. 著名的，出名的
fan	n. （运动等）狂热爱好者
fancy	adj. 昂贵的； 别致的 n. 想象力，设想；爱好 vt. 喜欢；想象，猜想
fantasize	v. 想象，幻想
fantastic	adj. 极好的， 极出色的， 了不起的； 极大的； 难以相信的； 异想天开的， 不实际的； 奇异的， 古怪的
fantasy	n. 想象， 幻想； 想象的产物
far	adj. 远的 adv. 远，遥远
fare	vi. 进展 n. 车费，船费，票价
farewell	int. 再会 n. 告别
farm	n. 农场，农庄；饲养场
farmer	n. 农民，农夫；农场主
farther	adv. 更远地 adj. 更远的
fascinate	vi. 有吸引力， 迷人 vt. 迷住，强烈吸引
fascinating	adj. 迷人的， 有极大吸引力的
fascination	n. 魅力；入迷
fashion	n. 样子， 方式； 时尚； 流行款式
fashionable	adj. 流行的， 时髦的
fast	adj. 快的；偏快的 adv. 快
fasten	v. 扎牢， 扣住
fatal	adj. 致命的， 命运的； 重大的， 决定性的
fate	n. 命运， 天数
father	n. 父亲；神父；创始人
fatigue	v. 疲劳 n. 疲劳，劳累
fault	n. 缺点；过失；故障
faulty	adj. 有错误的， 有缺点的
favor	v. 偏好, 较喜欢
favorable	adj. 赞同的
favour	n. 好感；赞同；恩惠 vt. 赞同； 喜爱， 偏爱； 有利于
favourable	adj. 有利的， 赞成的； 顺利的
favourite	adj. 特别受喜爱的 n. 特别受喜爱的人
fear	n. 害怕；担心 v. 害怕
fearful	adj. 害怕的， 可怕的； 不安的， 忧虑的
feasible	adj. 可行的；可能的；可用的
feast	n. 盛宴；筵席；节日
feather	n. 羽毛；翎毛；羽状物
feature	vi. 起重要作用 n. 特征，特色；面貌；特写，专题节目；故事片 vt. 突出；由…主演
February	n. 二月
federal	adj. 联邦的， 联盟的
fee	n. 费； 酬金， 赏金
feeble	adj. 虚弱的；微弱的
feed	v. 喂（养）；吃饲料
feedback	n. 回授， 反馈， 反应
feel	v. 有知觉；触，摸
feeling	n. 感觉，知觉；感情
fellow	n. 家伙；伙伴
female	adj. 雌的； 女的 n. 雌性动物；女子
fence	n. 栅栏
fertile	adj. 肥沃的； 多产的； 丰富的
fertilizer	n. 肥料
festival	n. 〔电影、戏剧、音乐等的〕节，节庆，会演；节日
fetch	v. 拿来；请来，接去
fever	n. 发热，发烧；狂热
few	adj. 很少的；少数的
fibre	n. 纤维， 纤维质
fiction	n. 小说，虚构的文学作品
field	n. 田野；田；运动场
fierce	adj. 凶猛的； 狂热的
fifteen	num. 十五；十五个
fifth	num. 第五 n. 五分之一
fifty	num. 五十，五十个
fight	v. 打（仗）；斗争
figure	v. 出现； 合乎情理； 计算； 认为， 猜想 n. 数字；人物；算术；体形，体态；轮廓；画像，塑像；图，图形
